例会	0X8007D65	0X8007D22
周会	0X8007DA6	0X8007D6A
聚餐	0X8007D81	0X8007D3B
开会	0X8007D5B	0X8007D1D
讨论	0X8007D90	0X8007D4A
结婚	0X8007D71	0X8007D2B
会议	0X8007D61	0X8007D20
班会	0X8007D8C	0X8007D46
论文	0X8007D77	0X8007D31
晚会	0X8007D8A	0X8007D44
汇报	0X8007D9F	0X8007D5C
读书	0X8007D82	0X8007D3C
大会	0X8007D73	0X8007D2D
开学	0X8007D74	0X8007D2E
约会	0X8007D98	0X8007D52
报告	0X8007D70	0X8007D2A
图书馆	0X8007D72	0X8007D2C
大赛	0X8007D8F	0X8007D49
快递	0X8007D6F	0X8007D29
辩论	0X8007D9D	0X8007D58
电影	0X8007D75	0X8007D2F
复习	0X8007D67	0X8007D23
面试	0X8007D6D	0X8007D27
体检	0X8007D92	0X8007D4C
考核	0X8007DA5	0X8007D68
集合	0X8007D93	0X8007D4D
总结	0X8007D76	0X8007D30
还款	0X8007D8D	0X8007D47
补课	0X8007D97	0X8007D51
生日	0X8007D57	0X8007D1B
跑步	0X8007D7B	0X8007D35
上课	0X8007D63	0X8007D21
见面会	0X8007D9C	0X8007D56
实验	0X8007D6C	0X8007D26
考试	0X8007D59	0X8007D1C
演讲	0X8007D94	0X8007D4E
准考证	0X8007D89	0X8007D43
讲座	0X8007D78	0X8007D32
中考	0X8007D91	0X8007D4B
婚礼	0X8007D87	0X8007D41
课程	0X8007D8E	0X8007D48
看书	0X8007D7D	0X8007D37
培训	0X8007D5D	0X8007D1E
